win rate: 0.610	loss rate: 0.273	tie rate: 0.117
win rate: 0.839	loss rate: 0.098	tie rate: 0.063
win rate: 0.886	loss rate: 0.072	tie rate: 0.042
win rate: 0.922	loss rate: 0.050	tie rate: 0.028
win rate: 0.839	loss rate: 0.130	tie rate: 0.031
win rate: 0.908	loss rate: 0.060	tie rate: 0.032
win rate: 0.899	loss rate: 0.053	tie rate: 0.048
win rate: 0.862	loss rate: 0.098	tie rate: 0.040
win rate: 0.889	loss rate: 0.088	tie rate: 0.023
win rate: 0.847	loss rate: 0.101	tie rate: 0.052
win rate: 0.590	loss rate: 0.294	tie rate: 0.116
win rate: 0.844	loss rate: 0.097	tie rate: 0.059
win rate: 0.827	loss rate: 0.120	tie rate: 0.053
win rate: 0.850	loss rate: 0.089	tie rate: 0.061
win rate: 0.849	loss rate: 0.102	tie rate: 0.049
win rate: 0.922	loss rate: 0.038	tie rate: 0.040
win rate: 0.907	loss rate: 0.070	tie rate: 0.023
win rate: 0.914	loss rate: 0.051	tie rate: 0.035
win rate: 0.840	loss rate: 0.108	tie rate: 0.052
win rate: 0.816	loss rate: 0.130	tie rate: 0.054
win rate: 0.867	loss rate: 0.094	tie rate: 0.039
win rate: 0.818	loss rate: 0.121	tie rate: 0.061
win rate: 0.915	loss rate: 0.052	tie rate: 0.033
win rate: 0.885	loss rate: 0.062	tie rate: 0.053
win rate: 0.924	loss rate: 0.050	tie rate: 0.026
win rate: 0.877	loss rate: 0.067	tie rate: 0.056
win rate: 0.830	loss rate: 0.107	tie rate: 0.063
win rate: 0.865	loss rate: 0.099	tie rate: 0.036
win rate: 0.901	loss rate: 0.054	tie rate: 0.045
win rate: 0.902	loss rate: 0.062	tie rate: 0.036
win rate: 0.567	loss rate: 0.311	tie rate: 0.122
win rate: 0.863	loss rate: 0.100	tie rate: 0.037
win rate: 0.857	loss rate: 0.104	tie rate: 0.039
win rate: 0.872	loss rate: 0.076	tie rate: 0.052
win rate: 0.892	loss rate: 0.054	tie rate: 0.054
win rate: 0.905	loss rate: 0.053	tie rate: 0.042
win rate: 0.810	loss rate: 0.131	tie rate: 0.059
win rate: 0.853	loss rate: 0.102	tie rate: 0.045
win rate: 0.883	loss rate: 0.078	tie rate: 0.039
win rate: 0.853	loss rate: 0.087	tie rate: 0.060
win rate: 0.559	loss rate: 0.313	tie rate: 0.128
win rate: 0.916	loss rate: 0.052	tie rate: 0.032
win rate: 0.849	loss rate: 0.104	tie rate: 0.047
win rate: 0.916	loss rate: 0.046	tie rate: 0.038
win rate: 0.849	loss rate: 0.111	tie rate: 0.040
win rate: 0.849	loss rate: 0.086	tie rate: 0.065
win rate: 0.828	loss rate: 0.121	tie rate: 0.051
win rate: 0.818	loss rate: 0.103	tie rate: 0.079
win rate: 0.887	loss rate: 0.061	tie rate: 0.052
win rate: 0.934	loss rate: 0.034	tie rate: 0.032
win rate: 0.561	loss rate: 0.294	tie rate: 0.145
win rate: 0.872	loss rate: 0.102	tie rate: 0.026
win rate: 0.806	loss rate: 0.129	tie rate: 0.065
win rate: 0.870	loss rate: 0.079	tie rate: 0.051
win rate: 0.825	loss rate: 0.109	tie rate: 0.066
win rate: 0.861	loss rate: 0.096	tie rate: 0.043
win rate: 0.883	loss rate: 0.068	tie rate: 0.049
win rate: 0.863	loss rate: 0.093	tie rate: 0.044
win rate: 0.862	loss rate: 0.099	tie rate: 0.039
win rate: 0.893	loss rate: 0.071	tie rate: 0.036
win rate: 0.601	loss rate: 0.281	tie rate: 0.118
win rate: 0.900	loss rate: 0.064	tie rate: 0.036
win rate: 0.878	loss rate: 0.083	tie rate: 0.039
win rate: 0.844	loss rate: 0.109	tie rate: 0.047
win rate: 0.842	loss rate: 0.108	tie rate: 0.050
win rate: 0.893	loss rate: 0.071	tie rate: 0.036
win rate: 0.837	loss rate: 0.115	tie rate: 0.048
win rate: 0.907	loss rate: 0.060	tie rate: 0.033
win rate: 0.813	loss rate: 0.131	tie rate: 0.056
win rate: 0.929	loss rate: 0.047	tie rate: 0.024
win rate: 0.620	loss rate: 0.258	tie rate: 0.122
win rate: 0.881	loss rate: 0.076	tie rate: 0.043
win rate: 0.818	loss rate: 0.130	tie rate: 0.052
win rate: 0.884	loss rate: 0.078	tie rate: 0.038
win rate: 0.914	loss rate: 0.059	tie rate: 0.027
win rate: 0.853	loss rate: 0.100	tie rate: 0.047
win rate: 0.819	loss rate: 0.129	tie rate: 0.052
win rate: 0.909	loss rate: 0.052	tie rate: 0.039
win rate: 0.834	loss rate: 0.112	tie rate: 0.054
win rate: 0.833	loss rate: 0.104	tie rate: 0.063
win rate: 0.594	loss rate: 0.280	tie rate: 0.126
win rate: 0.884	loss rate: 0.069	tie rate: 0.047
win rate: 0.885	loss rate: 0.069	tie rate: 0.046
win rate: 0.826	loss rate: 0.114	tie rate: 0.060
win rate: 0.877	loss rate: 0.066	tie rate: 0.057
win rate: 0.882	loss rate: 0.071	tie rate: 0.047
win rate: 0.817	loss rate: 0.128	tie rate: 0.055
win rate: 0.880	loss rate: 0.080	tie rate: 0.040
win rate: 0.880	loss rate: 0.078	tie rate: 0.042
win rate: 0.894	loss rate: 0.061	tie rate: 0.045
win rate: 0.793	loss rate: 0.142	tie rate: 0.065
